Artist,Album,Track,Time,day,genre
The Dopamines,Tales of Interest,Everybody Dies,8/25/21 2:13,Wednesday,punk
The Dopamines,Tales of Interest,Business Papers - Reprise,8/25/21 2:05,Wednesday,punk
The Dopamines,Tales of Interest,Heartbeaten by the Police,8/25/21 2:02,Wednesday,punk
The Dopamines,Tales of Interest,Kaltes Ende,8/25/21 1:59,Wednesday,punk
The Dopamines,Tales of Interest,Expect the Worst,8/25/21 1:58,Wednesday,punk
The Dopamines,Tales of Interest,Open Letter,8/25/21 1:56,Wednesday,punk
The Dopamines,Tales of Interest,Pavlovian Fixations,8/25/21 1:43,Wednesday,punk
The Dopamines,Tales of Interest,83133,8/25/21 1:42,Wednesday,punk
The Dopamines,Tales of Interest,Midwesternplayalisticeconolinemuzik,8/25/21 1:40,Wednesday,punk
The Dopamines,Tales of Interest,Common Rue,8/25/21 1:38,Wednesday,punk
The Dopamines,Tales of Interest,Business Papers,8/25/21 1:35,Wednesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/25/21 1:30,Wednesday,punk
The Dopamines,Vices,You're So Vain Pt. 2,8/24/21 19:12,Tuesday,punk
The Dopamines,Tales of Interest,Business Papers,8/24/21 19:09,Tuesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/24/21 19:05,Tuesday,punk
The Dopamines,Tales of Interest,Midwesternplayalisticeconolinemuzik,8/24/21 17:27,Tuesday,punk
The Dopamines,Tales of Interest,Common Rue,8/24/21 17:25,Tuesday,punk
The Dopamines,Tales of Interest,Business Papers,8/24/21 17:22,Tuesday,punk
The Dopamines,Tales of Interest,Ire,8/24/21 17:19,Tuesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/24/21 17:15,Tuesday,punk
The Dopamines,Tales of Interest,Ire,8/24/21 15:00,Tuesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/24/21 14:57,Tuesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/24/21 14:54,Tuesday,punk
